R,r,t,Y1,Y2,yhat,resid
3,1.5,0.6,0.343704,-9.26771,0.34037033333333344,0.003333666666666568
3,1.5,0.9,0.327037,-9.7432,0.3309258333333335,-0.0038888333333334524
3,1.5,1.2,0.324815,-9.78037,0.3214813333333335,0.0033336666666665127
3,2.5,0.6,0.319259,-9.94192,0.31814816666666673,0.0011108333333332832
3,2.5,0.9,0.302593,-10.4174,0.30870366666666677,-0.006110666666666764
3,2.5,1.2,0.30037,-10.4546,0.29925916666666685,0.0011108333333331721
3,3.5,0.6,0.299259,-10.5522,0.295926,0.003332999999999975
3,3.5,0.9,0.282593,-11.0277,0.28648150000000006,-0.0038885000000000725
3,3.5,1.2,0.28037,-11.0649,0.2770370000000001,0.0033329999999999194
4,1.5,0.6,0.33037,-9.63097,0.32759255555555566,0.0027774444444443325
4,1.5,0.9,0.313704,-10.1065,0.3181480555555557,-0.004444055555555715
4,1.5,1.2,0.311481,-10.1436,0.30870355555555573,0.002777444444444277
4,2.5,0.6,0.305926,-10.3052,0.30537038888888896,0.0005556111111110207
4,2.5,0.9,0.289259,-10.7807,0.295925888888889,-0.006666888888889
4,2.5,1.2,0.287037,-10.8178,0.2864813888888891,0.0005556111111109097
4,3.5,0.6,0.285926,-10.9155,0.28314822222222225,0.002777777777777768
4,3.5,0.9,0.269259,-11.3909,0.2737037222222223,-0.004444722222222253
4,3.5,1.2,0.267037,-11.4281,0.2642592222222223,0.0027777777777777124
5,1.5,0.6,0.318148,-10.0005,0.3148147777777779,0.0033332222222220986
5,1.5,0.9,0.301481,-10.476,0.3053702777777779,-0.003889277777777922
5,1.5,1.2,0.299259,-10.5131,0.29592577777777795,0.003333222222222043
5,2.5,0.6,0.293704,-10.6747,0.2925926111111112,0.0011113888888888424
5,2.5,0.9,0.277037,-11.1502,0.2831481111111112,-0.006111111111111234
5,2.5,1.2,0.274815,-11.1873,0.2737036111111113,0.0011113888888886758
5,3.5,0.6,0.273704,-11.285,0.27037044444444447,0.003333555555555534
5,3.5,0.9,0.257037,-11.7604,0.2609259444444445,-0.0038889444444444865
5,3.5,1.2,0.254815,-11.7976,0.25148144444444454,0.0033335555555554786
